,title_y,startYear,director,cast,overview,genres_x,runtimeMinutes,averageRating,numVotes,poster_path,original_language,average_popularity_cast,average_popularity_director,popularity,key
0,Beetlejuice Beetlejuice,2024,['Tim Burton'],"['Michael Keaton', 'Justin Theroux', 'Willem Dafoe', 'Arthur Conti', 'Nick Kellington', 'Santiago Cabrera', 'Winona Ryder', ""Catherine O'Hara"", 'Jenna Ortega', 'Monica Bellucci']","À la suite d'une tragédie familiale inattendue, trois générations de la famille Deetz rentrent dans leur maison à Winter River, toujours hantée par Beetlejuice. Là-bas, Lydia voit sa vie prendre un nouveau tournant lorsque Astrid, sa fille en plein âge rebelle, découvre la mystérieuse maquette de la ville et que le portail vers l'au-delà s'ouvre accidentellement. Les ennuis se rapprochent des deux royaumes, et ce n'est qu'une question de temps avant que quelqu'un ne prononce le nom de Beetlejuice trois fois et que ce démon malicieux revienne pour semer le chaos sur son passage.","['Comedy', 'Fantasy', 'Horror']",105,6.8,102067,https://image.tmdb.org/t/p/original/4M8fnQF821aVFBbhLdTQGf4j4W9.jpg,en,40.2805,28.287,245.112,https://www.youtube.com/watch?v=ltHWSzuq_hY
1,Bad Boys: Ride or Die,2024,"['Adil El Arbi', 'Bilall Fallah']","['Will Smith', 'Martin Lawrence', 'Alexander Ludwig', 'Eric Dane', 'Ioan Gruffudd', 'Jacob Scipio', 'Vanessa Hudgens', 'Paola Núñez', 'Melanie Liburd', 'Tasha Smith']","Le détective de Miami Mike Lowrey apprend que son ex-supérieur à l'escouade anti-drogue, le défunt capitaine Howard, aurait reçu des centaines de millions de dollars de la part des cartels mexicains. Avec son coéquipier et ami Marcus Burnett, Mike entreprend de blanchir la réputation de Howard. Or, le meurtrier du capitaine, le trafiquant Armando Aretas, est le seul à pouvoir identifier le véritable traître au sein des forces de police de Miami. Et puisque le repenti Armando est également le fils de Mike, ce dernier obtient qu'il soit temporairement libéré de prison pour participer à l'enquête. Mais ce faisant, Marcus, Mike et son fils se retrouvent à leur tour compromis par le chef des conspirateurs, qui lance des chasseurs de primes à leurs trousses.","['Action', 'Comedy']",115,6.6,82926,https://image.tmdb.org/t/p/original/rHRErXpF2AIhw6i4GD1ikqy8uak.jpg,en,27.2738,6.3995,339.167,https://www.youtube.com/watch?v=x-hfAde1pm4
2,"Moi, moche et méchant 4",2024,['Chris Renaud'],"['Steve Carell', 'Pierre Coffin', 'Will Ferrell', 'Chris Renaud', 'Kristen Wiig', 'Joey King', 'Sofía Vergara', 'Dana Gaier', 'Madison Skyy Polan', 'Miranda Cosgrove']","Gru, Lucy et les filles, Margo, Édith et Agnès accueillent le petit dernier de la famille, Gru Junior, qui semble n’avoir qu’une passion : faire tourner son père en bourrique. Mais Gru est confronté à un nouvel ennemi, Maxime Le Mal, qui avec l’aide de sa petite amie, la fatale Valentina, va obliger toute la famille à fuir.","['Animation', 'Family', 'Comedy', 'Action']",94,6.2,51450,https://image.tmdb.org/t/p/original/bYovCvLV1RxB0zAR5cXu699P9P7.jpg,en,19.009,7.596,692.804,https://www.youtube.com/watch?v=5HgS6G0xhLY
3,Sans un bruit : Jour 1,2024,['Michael Sarnoski'],"['Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Takunda Khumalo', 'Alfie Todd', 'Ronnie Le Drew', 'Benjamin Wong', ""Lupita Nyong'o"", 'Eliane Umuhire', 'Avy-Berry Worrall']","Alors que Samira rentre à New York, son simple voyage se transforme en cauchemar suite à l’attaque de mystérieuses créatures attirées par le son. Accompagnée de son chat Frodon et d'un allié inattendu, Samira se lance dans un voyage périlleux à travers une ville où règne le silence. Pour rester en vie, sa seule solution est de ne faire aucun bruit.","['Horror', 'Science Fiction', 'Thriller']",99,6.3,118966,https://image.tmdb.org/t/p/original/ymMaqwKN3Ovy9nlIRmk5GsnxEkx.jpg,en,10.4191,2.043,215.02,https://www.youtube.com/watch?v=PW-rb3TLM8I
4,Kung Fu Panda 4,2024,['Mike Mitchell'],"['Jack Black', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Awkwafina', 'Viola Davis', 'Lori Tan Chinn']","Après trois aventures dans lesquelles le guerrier dragon Po a combattu les maîtres du mal les plus redoutables grâce à un courage et des compétences en arts martiaux inégalés, le destin va de nouveau frapper à sa porte pour l'inviter à enfin se reposer. Plus précisément, pour être nommé chef spirituel de la vallée de la Paix.","['Animation', 'Family', 'Fantasy', 'Action']",94,6.3,59504,https://image.tmdb.org/t/p/original/y8K9wRRv7YK1ACHqaDlMBrNebVU.jpg,en,20.9986,0.039,259.831,https://www.youtube.com/watch?v=GDJgAHKKirk
5,Dune : Deuxième partie,2024,['Denis Villeneuve'],"['Timothée Chalamet', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Dave Bautista', 'Christopher Walken', 'Zendaya', 'Rebecca Ferguson', 'Florence Pugh', 'Léa Seydoux']","Le voyage mythique de Paul Atreides qui s'allie à Chani et aux Fremen dans sa quête de vengeance envers les conspirateurs qui ont anéanti sa famille. Devant choisir entre l'amour de sa vie et le destin de l'univers, il fera tout pour éviter un terrible futur que lui seul peut prédire.","['Science Fiction', 'Adventure']",166,8.5,548531,https://image.tmdb.org/t/p/original/dM2eC02Dq3iMtBZZDFtXSLHfFKJ.jpg,en,42.968900000000005,20.488,196.497,https://www.youtube.com/watch?v=whgGWd2NacU
6,Abigail,2024,"['Matt Bettinelli-Olpin', 'Tyler Gillett']","['Dan Stevens', 'William Catlett', 'Kevin Durand', 'Angus Cloud', 'Giancarlo Esposito', 'Matthew Goode', 'Melissa Barrera', 'Alisha Weir', 'Kathryn Newton']","Suite au kidnapping de la fille d'un puissant magnat de la pègre, un groupe de criminels amateurs pensaient simplement devoir enfermer et surveiller cette jeune ballerine afin de pouvoir réclamer une rançon de 50 millions de dollars. Retirés dans un manoir isolé, les ravisseurs commencent mystérieusement à disparaître, les uns après les autres, au fil de la nuit. C'est alors qu'ils découvrent avec horreur que la fillette avec lesquels ils sont enfermés n'a rien d'ordinaire.","['Horror', 'Thriller']",109,6.6,78934,https://image.tmdb.org/t/p/original/82cVKNHK1imJQqAzj5WedbDdR2B.jpg,en,22.860777777777777,4.166,97.594,https://www.youtube.com/watch?v=F_ZbR2ywHxg
7,La Planète des singes : Le Nouveau Royaume,2024,['Wes Ball'],"['Owen Teague', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Neil Sandilands', 'Ras-Samuel', 'Freya Allan', 'Freya Allan', 'Lydia Peckham']","Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains…","['Science Fiction', 'Adventure', 'Action']",145,6.9,135265,https://image.tmdb.org/t/p/original/4925wPllJdQmHd1RxbZ62ZekaW3.jpg,en,15.237545454545456,6.255,253.789,https://www.youtube.com/watch?v=949816308
8,Longlegs,2024,['Osgood Perkins'],"['Nicolas Cage', 'Blair Underwood', 'Dakota Daulby', 'Jason William Day', 'Maika Monroe', 'Alicia Witt', 'Michelle Choi-Lee', 'Lauren Acala', 'Kiernan Shipka', 'Maila Hosie']","L'agent du FBI Lee Harker, une nouvelle recrue talentueuse, est affectée sur le cas irrésolu d'un tueur en série insaisissable. L’enquête, aux frontières de l’occulte, se complexifie encore lorsqu’elle se découvre un lien personnel avec le tueur impitoyable qu’elle doit arrêter avant qu'il ne prenne les vies d’autres familles innocentes.","['Horror', 'Thriller', 'Crime']",101,6.7,137221,https://image.tmdb.org/t/p/original/ncTqrUeLNZee3WtKSX5lJBZDkUf.jpg,en,20.9628,7.553,145.723,https://www.youtube.com/watch?v=snQduAbqovM
9,Alien : Romulus,2024,['Fede Alvarez'],"['David Jonsson', 'Archie Renaux', 'Spike Fearn', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu', 'Cailee Spaeny', 'Isabela Merced', 'Aileen Wu', 'Rosie Ede']","Quelques années après les événements sur le vaisseau Nostromo, un groupe de jeunes colons de l'espace travaillent en tant que mineurs dans l'espoir de rejoindre une autre planète verdoyante, Yvaga. Un des membres propose d'utiliser une station spatiale abandonnée en orbite autour de leur planète actuelle afin de se rendre sur Yvaga. Cependant, ils se retrouvent face-à-face avec la forme de vie la plus terrifiante de l'univers alors qu'ils fouillent les profondeurs de cette station.","['Horror', 'Science Fiction']",119,7.2,170335,https://image.tmdb.org/t/p/original/xmDypImhT0OOloQIj3JLslUrBw8.jpg,en,15.4544,8.454,777.875,https://www.youtube.com/watch?v=dEGpLTxEHe8
